what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1285572438577
locale,sysinfo,,,"en_US",1285572438577
processors,sysinfo,,,"4",1285572438577
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285572438577
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1285572438577
java.specification.name,sysinfo,,,"Java Platform API Specification",1285572438577
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285572438577
java.specification.version,sysinfo,,,"1.6",1285572438577
java.vendor,sysinfo,,,"Apple Inc.",1285572438577
java.version,sysinfo,,,"1.6.0_20",1285572438577
java.vm.info,sysinfo,,,"mixed mode",1285572438577
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1285572438577
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285572438577
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285572438577
java.vm.specification.version,sysinfo,,,"1.0",1285572438577
java.vm.vendor,sysinfo,,,"Apple Inc.",1285572438577
java.vm.version,sysinfo,,,"16.3-b01-279",1285572438577
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1285572449518
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1285572449574
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1285572449589
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572465360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572472085
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572472207
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1285572472809
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1285572472810
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1285572472810
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1285572472811
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1285572472812
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1285572472812
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1285572472813
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1285572472815
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1285572472815
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1285572472816
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1285572472818
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1285572472819
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1285572472820
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1285572472822
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1285572472830
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1285572472832
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1285572472836
stopped,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1285572472842
stopped,bundle,org.eclipse.rse.processes.ui,3.0.200.v201003010830,"org.eclipse.rse.processes.ui",1285572472844
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1285572472845
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1285572472846
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1285572472847
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1285572472850
stopped,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1285572472851
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1285572472852
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1285572472853
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.0.v201004290328,"org.eclipse.wst.xml.xpath.ui",1285572472854
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1285572472859
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1285572472860
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1285572472860
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1285572481256
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1285572481257
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1285572481258
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1285572481258
