what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285572609067
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285572609067
java.vm.specification.version,sysinfo,,,"1.0",1285572609067
java.vm.vendor,sysinfo,,,"Apple Inc.",1285572609067
java.vm.version,sysinfo,,,"16.3-b01-279",1285572609067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572618834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572636242
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1285572636389
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1285572636391
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1285572636461
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1285572636468
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1285572636746
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1285572636750
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1285572636881
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1285572636895
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1285572637281
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1285572637401
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1285572637445
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1285572637476
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1285572637546
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572637653
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572637882
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1285572638193
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1285572638295
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1285572638300
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1285572638534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572643081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572652274
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572652443
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572652568
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572652797
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572652878
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1285572652879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572661288
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572690101
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1285572690158
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1285572690161
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1285572693390
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1285572693429
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1285572693649
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1285572693678
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1285572693700
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1285572693862
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1285572693877
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1285572693906
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1285572694575
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285572696965
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1285572729800
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1285572729819
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1285572729830
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1285572729846
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1285572729851
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1285572729854
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1285572729857
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1285572729932
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1285572729935
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1285572729941
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1285572729946
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1285572733718
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1285572761130
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1285572776602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572781394
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572785490
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1285572785524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572803914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572805475
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285572808727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573476125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573477526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573478725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573479299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573571341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285573572039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595495367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595500811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595502306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595503386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595625146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285595625697
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285596735544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285596736506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285596737829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285596738684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285597594889
